mean_score,total_steps,std_score,max_score,min_score
156.0,1,0.0,156,156
39.0,2,0.0,39,39
78.0,3,0.0,78,78
39.0,4,0.0,39,39
117.0,5,0.0,117,117
39.0,6,0.0,39,39
117.0,7,0.0,117,117
156.0,8,0.0,156,156
39.0,9,0.0,39,39
195.0,10,0.0,195,195
117.0,11,0.0,117,117
78.0,12,0.0,78,78
39.0,13,0.0,39,39
273.0,14,0.0,273,273
117.0,15,0.0,117,117
39.0,16,0.0,39,39
117.0,17,0.0,117,117
117.0,18,0.0,117,117
39.0,19,0.0,39,39
78.0,20,0.0,78,78
156.0,21,0.0,156,156
195.0,22,0.0,195,195
78.0,23,0.0,78,78
195.0,24,0.0,195,195
78.0,25,0.0,78,78
39.0,26,0.0,39,39
78.0,27,0.0,78,78
78.0,28,0.0,78,78
195.0,29,0.0,195,195
156.0,30,0.0,156,156
117.0,31,0.0,117,117
78.0,32,0.0,78,78
195.0,33,0.0,195,195
78.0,34,0.0,78,78
39.0,35,0.0,39,39
117.0,36,0.0,117,117
117.0,37,0.0,117,117
156.0,38,0.0,156,156
78.0,39,0.0,78,78
39.0,40,0.0,39,39
39.0,41,0.0,39,39
78.0,42,0.0,78,78
78.0,43,0.0,78,78
39.0,44,0.0,39,39
468.0,45,0.0,468,468
117.0,46,0.0,117,117
39.0,47,0.0,39,39
117.0,48,0.0,117,117
78.0,49,0.0,78,78
39.0,50,0.0,39,39
78.0,51,0.0,78,78
195.0,52,0.0,195,195
39.0,53,0.0,39,39
78.0,54,0.0,78,78
39.0,55,0.0,39,39
78.0,56,0.0,78,78
39.0,57,0.0,39,39
117.0,58,0.0,117,117
117.0,59,0.0,117,117
78.0,60,0.0,78,78
39.0,61,0.0,39,39
156.0,62,0.0,156,156
195.0,63,0.0,195,195
78.0,64,0.0,78,78
117.0,65,0.0,117,117
39.0,66,0.0,39,39
195.0,67,0.0,195,195
39.0,68,0.0,39,39
312.0,69,0.0,312,312
39.0,70,0.0,39,39
78.0,71,0.0,78,78
78.0,72,0.0,78,78
156.0,73,0.0,156,156
117.0,74,0.0,117,117
195.0,75,0.0,195,195
39.0,76,0.0,39,39
195.0,77,0.0,195,195
156.0,78,0.0,156,156
39.0,79,0.0,39,39
195.0,80,0.0,195,195
234.0,81,0.0,234,234
0.0,82,0.0,0,0
78.0,83,0.0,78,78
195.0,84,0.0,195,195
234.0,85,0.0,234,234
39.0,86,0.0,39,39
195.0,87,0.0,195,195
78.0,88,0.0,78,78
117.0,89,0.0,117,117
117.0,90,0.0,117,117
78.0,91,0.0,78,78
78.0,92,0.0,78,78
39.0,93,0.0,39,39
39.0,94,0.0,39,39
39.0,95,0.0,39,39
117.0,96,0.0,117,117
39.0,97,0.0,39,39
78.0,98,0.0,78,78
78.0,99,0.0,78,78
39.0,100,0.0,39,39
429.0,101,0.0,429,429
0.0,102,0.0,0,0
156.0,103,0.0,156,156
39.0,104,0.0,39,39
78.0,105,0.0,78,78
39.0,106,0.0,39,39
39.0,107,0.0,39,39
195.0,108,0.0,195,195
117.0,109,0.0,117,117
78.0,110,0.0,78,78
39.0,111,0.0,39,39
78.0,112,0.0,78,78
117.0,113,0.0,117,117
195.0,114,0.0,195,195
39.0,115,0.0,39,39
39.0,116,0.0,39,39
78.0,117,0.0,78,78
78.0,118,0.0,78,78
39.0,119,0.0,39,39
39.0,120,0.0,39,39
117.0,121,0.0,117,117
39.0,122,0.0,39,39
117.0,123,0.0,117,117
195.0,124,0.0,195,195
78.0,125,0.0,78,78
117.0,126,0.0,117,117
78.0,127,0.0,78,78
117.0,128,0.0,117,117
117.0,129,0.0,117,117
78.0,130,0.0,78,78
39.0,131,0.0,39,39
117.0,132,0.0,117,117
78.0,133,0.0,78,78
234.0,134,0.0,234,234
117.0,135,0.0,117,117
273.0,136,0.0,273,273
156.0,137,0.0,156,156
117.0,138,0.0,117,117
78.0,139,0.0,78,78
39.0,140,0.0,39,39
117.0,141,0.0,117,117
312.0,142,0.0,312,312
273.0,143,0.0,273,273
78.0,144,0.0,78,78
156.0,145,0.0,156,156
39.0,146,0.0,39,39
39.0,147,0.0,39,39
39.0,148,0.0,39,39
117.0,149,0.0,117,117
390.0,150,0.0,390,390
312.0,151,0.0,312,312
78.0,152,0.0,78,78
78.0,153,0.0,78,78
39.0,154,0.0,39,39
78.0,155,0.0,78,78
195.0,156,0.0,195,195
117.0,157,0.0,117,117
390.0,158,0.0,390,390
39.0,159,0.0,39,39
117.0,160,0.0,117,117
39.0,161,0.0,39,39
156.0,162,0.0,156,156
78.0,163,0.0,78,78
234.0,164,0.0,234,234
273.0,165,0.0,273,273
195.0,166,0.0,195,195
39.0,167,0.0,39,39
117.0,168,0.0,117,117
468.0,169,0.0,468,468
117.0,170,0.0,117,117
39.0,171,0.0,39,39
156.0,172,0.0,156,156
312.0,173,0.0,312,312
312.0,174,0.0,312,312
468.0,175,0.0,468,468
117.0,176,0.0,117,117
273.0,177,0.0,273,273
39.0,178,0.0,39,39
39.0,179,0.0,39,39
39.0,180,0.0,39,39
39.0,181,0.0,39,39
39.0,182,0.0,39,39
117.0,183,0.0,117,117
78.0,184,0.0,78,78
117.0,185,0.0,117,117
78.0,186,0.0,78,78
39.0,187,0.0,39,39
39.0,188,0.0,39,39
195.0,189,0.0,195,195
39.0,190,0.0,39,39
156.0,191,0.0,156,156
39.0,192,0.0,39,39
39.0,193,0.0,39,39
39.0,194,0.0,39,39
39.0,195,0.0,39,39
39.0,196,0.0,39,39
78.0,197,0.0,78,78
78.0,198,0.0,78,78
39.0,199,0.0,39,39
117.0,200,0.0,117,117
